Job Title,Rating,Average Salary,State
machine learning engineer,3.2,43.5,IL
other,3.1,43.5,IL
data scientist,3.2,43.5,IL
other,2.5,43.5,IL
other,4.6,43.5,IL
analyst,3.2,43.5,IL
researcher,4.7,43.5,IL
data scientist,4.0,43.5,IL
researcher,3.9,43.5,IL
analyst,4.1,43.5,IL
researcher,4.7,43.5,IL
analyst,4.0,43.5,IL
analyst,4.0,43.5,IL
data scientist,5.0,43.5,IL
data scientist,3.5,43.5,IL
analyst,3.4,43.5,IL
data scientist,1.0,43.5,IL
data scientist,2.6,43.5,IL
other,3.5,43.5,IL
data engineer,4.1,43.5,IL
analyst,4.7,43.5,IL
analyst,3.8,43.5,IL
analyst,3.7,43.5,IL
researcher,3.8,43.5,IL
data engineer,3.4,43.5,IL
analyst,3.4,43.5,IL
other,3.5,43.5,IL
analyst,3.1,43.5,IL
analyst,3.4,60.0,IL
analyst,3.9,60.0,IL
analyst,4.1,60.0,IL
analyst,3.9,60.0,IL
analyst,2.8,60.0,IL
data scientist,4.5,60.0,IL
analyst,3.8,60.0,IL
researcher,4.8,60.0,IL
machine learning engineer,3.2,60.0,IL
data scientist,3.9,60.0,IL
other,3.7,60.0,IL
analyst,3.3,60.0,IL
analyst,4.7,60.0,IL
data scientist,3.3,60.0,IL
other,4.0,60.0,IL
analyst,4.6,60.0,IL
other,3.2,60.0,IL
data scientist,3.3,60.0,IL
other,3.9,60.0,IL
other,3.2,60.0,IL
data scientist,3.7,60.0,IL
analyst,3.4,60.0,IL
data engineer,4.4,60.0,IL
analyst,4.1,60.0,IL
data scientist,3.8,60.0,IL
analyst,3.5,60.0,IL
analyst,3.8,60.0,IL
analyst,3.9,60.0,IL
data engineer,3.8,136.5,IL
analyst,3.6,136.5,IL
data engineer,4.8,136.5,IL
analyst,5.0,136.5,IL
data scientist,2.4,136.5,IL
data scientist,3.7,136.5,IL
analyst,3.7,136.5,IL
data engineer,4.3,136.5,IL
data engineer,4.5,136.5,IL
data scientist,3.4,136.5,IL
data scientist,3.9,136.5,IL
data engineer,3.8,136.5,IL
other,3.8,136.5,IL
analyst,3.5,136.5,IL
other,3.4,136.5,IL
other,4.0,136.5,IL
data engineer,3.8,136.5,IL
data engineer,5.0,136.5,IL
analyst,3.8,136.5,IL
data scientist,3.6,136.5,IL
data engineer,5.0,136.5,IL
data engineer,4.5,136.5,IL
researcher,4.2,136.5,IL
data engineer,3.7,136.5,IL
data scientist,3.7,136.5,IL
other,3.3,136.5,IL
machine learning engineer,3.3,136.5,IL
data engineer,3.7,136.5,IL
analyst,2.9,111.5,IL
analyst,2.7,111.5,IL
analyst,3.5,111.5,IL
data engineer,3.1,111.5,IL
data scientist,3.9,111.5,IL
other,3.7,111.5,IL
other,3.5,111.5,IL
analyst,4.1,111.5,IL
analyst,4.5,111.5,IL
machine learning engineer,4.1,111.5,IL
data scientist,2.0,111.5,IL
researcher,4.1,111.5,IL
analyst,4.0,111.5,IL
other,4.6,111.5,IL
data scientist,5.0,111.5,IL
